02:55, Monday, April 20, 2026
Study name:Frequency 1
Mode No.  ,Frequency(Rad/sec)  ,Frequency(Hertz)  ,Period(Seconds)
1  ,45.67  ,7.2685  ,0.13758
2  ,307.62  ,48.959  ,0.020425
3  ,5590.5  ,889.75  ,0.0011239
4  ,6697.5  ,1065.9  ,0.00093813
5  ,6817.7  ,1085.1  ,0.0009216
6  ,6910  ,1099.8  ,0.00090929
7  ,20449  ,3254.5  ,0.00030727
8  ,23005  ,3661.3  ,0.00027313
9  ,25297  ,4026.2  ,0.00024837
10  ,26025  ,4142  ,0.00024143
11  ,26839  ,4271.6  ,0.0002341
12  ,35542  ,5656.7  ,0.00017678
13  ,35564  ,5660.2  ,0.00017667
14  ,50712  ,8071  ,0.0001239
15  ,53878  ,8574.9  ,0.00011662
16  ,59982  ,9546.4  ,0.00010475
17  ,73913  ,11764  ,8.5008e-05
18  ,74173  ,11805  ,8.471e-05
19  ,77114  ,12273  ,8.1479e-05
20  ,86319  ,13738  ,7.279e-05
