sep=;
14:49, Tuesday, April 21, 2026
Study name:Response spectrum analysis

Mode No.  ;Freq (Hertz)  ;X direction  ;Y direction  ;Z direction
1  ;146.97  ;8.1039e-15  ;7.7629e-12  ;0.60945
2  ;171.02  ;1.2254e-06  ;4.8177e-05  ;1.2658e-15
3  ;187.56  ;1.393e-13  ;4.0121e-11  ;0.1945
4  ;256.12  ;8.1175e-15  ;2.675e-15  ;0.012746
5  ;327.11  ;0.023704  ;0.12935  ;4.2257e-12
6  ;343.43  ;0.0016165  ;2.3524e-05  ;2.0409e-13
7  ;345.29  ;2.3937e-12  ;6.77e-13  ;0.00053866
8  ;354.6  ;1.3903e-11  ;1.5858e-12  ;0.00084581
9  ;387.99  ;0.59153  ;0.037843  ;4.8116e-14
10  ;426.18  ;0.0059609  ;0.0056727  ;2.8961e-14
11  ;484.26  ;7.9797e-14  ;1.7818e-13  ;0.0012629
12  ;500.44  ;0.0033852  ;0.05611  ;4.2636e-13
13  ;513.71  ;1.6176e-13  ;3.3868e-12  ;0.00020751
14  ;516.29  ;6.2911e-07  ;0.006086  ;8.2366e-13
15  ;575.5  ;4.0212e-13  ;1.657e-14  ;0.00021596
16  ;605.57  ;0.10837  ;0.085218  ;1.4267e-14
17  ;670.63  ;5.2112e-13  ;4.2766e-13  ;0.0031446
18  ;686.23  ;0.00021667  ;1.0051e-05  ;1.074e-13
19  ;688.78  ;6.133e-13  ;3.0913e-13  ;1.2963e-07
20  ;771.06  ;0.020423  ;0.0016312  ;1.0598e-13
21  ;801.61  ;0.06868  ;0.012038  ;1.2942e-13
22  ;804.5  ;0.016263  ;0.0083967  ;1.1117e-13
23  ;830.54  ;2.1735e-12  ;1.1485e-12  ;0.010367
24  ;855.13  ;0.00064536  ;0.00028648  ;2.2461e-13
25  ;856.59  ;1.6039e-14  ;1.9939e-13  ;0.0020415
26  ;887.01  ;1.4633e-12  ;1.0871e-12  ;0.0011226
27  ;943.05  ;3.0827e-05  ;0.0033001  ;3.9642e-13
28  ;1,006  ;2.9144e-12  ;1.7062e-11  ;0.0069741
29  ;1,020.5  ;5.6354e-05  ;9.9303e-05  ;1.4962e-17
30  ;1,021.1  ;5.3406e-13  ;2.0327e-12  ;3.8866e-05
31  ;1,032.5  ;0.013391  ;0.041972  ;1.316e-12
32  ;1,045.2  ;3.6313e-13  ;9.2969e-13  ;0.00039875
33  ;1,115.3  ;0.0016014  ;0.22168  ;5.605e-16
34  ;1,132  ;8.9176e-14  ;7.5496e-18  ;0.00043086
35  ;1,182.4  ;0.00010713  ;0.0010307  ;2.2687e-12
36  ;1,183.9  ;8.2905e-15  ;7.1617e-12  ;0.001532
37  ;1,185.9  ;1.1463e-15  ;3.7604e-16  ;0.0010757
38  ;1,196.2  ;0.0026776  ;0.0025836  ;4.2503e-14
39  ;1,279.5  ;8.9766e-14  ;3.4903e-12  ;0.00073271
40  ;1,339.1  ;0.00043983  ;0.019377  ;1.5981e-13
41  ;1,342.6  ;6.8646e-11  ;3.5282e-10  ;2.8542e-05
42  ;1,343.8  ;0.01938  ;0.13644  ;1.0157e-14
43  ;1,353.6  ;0.0030856  ;0.0077806  ;4.2439e-14
44  ;1,404.4  ;8.5513e-15  ;3.1887e-14  ;0.056965
45  ;1,449.9  ;0.0017184  ;0.010279  ;1.753e-15
  ;  ;Sum X = 0.88329  ;Sum Y = 0.78726  ;Sum Z = 0.90461
